
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: mode: prune
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: model: vgg19
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: verbose: False
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataset: cifar100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataroot: data
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: batch_size: 128
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: total_epochs: 100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_milestones: 40,80
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_gamma: 0.1
[09/09 18:13:12] cifar100-global-group2-vgg19 INFO: Epoch 47/120, Acc=0.5051, Val Loss=2.0257, lr=0.0100
[09/09 18:13:30] cifar100-global-group2-vgg19 INFO: Epoch 48/120, Acc=0.5374, Val Loss=1.8028, lr=0.0100
[09/09 18:13:48] cifar100-global-group2-vgg19 INFO: Epoch 49/120, Acc=0.5667, Val Loss=1.6695, lr=0.0100
[09/09 18:14:08] cifar100-global-group2-vgg19 INFO: Epoch 50/120, Acc=0.4997, Val Loss=2.0151, lr=0.0100
[09/09 18:14:25] cifar100-global-group2-vgg19 INFO: Epoch 51/120, Acc=0.5393, Val Loss=1.8049, lr=0.0100
[09/09 18:14:44] cifar100-global-group2-vgg19 INFO: Epoch 52/120, Acc=0.5624, Val Loss=1.6901, lr=0.0100
[09/09 18:15:02] cifar100-global-group2-vgg19 INFO: Epoch 53/120, Acc=0.5169, Val Loss=1.9392, lr=0.0100
[09/09 18:15:20] cifar100-global-group2-vgg19 INFO: Epoch 54/120, Acc=0.5493, Val Loss=1.7512, lr=0.0100
[09/09 18:15:39] cifar100-global-group2-vgg19 INFO: Epoch 55/120, Acc=0.5615, Val Loss=1.6940, lr=0.0100
[09/09 18:15:57] cifar100-global-group2-vgg19 INFO: Epoch 56/120, Acc=0.5701, Val Loss=1.6473, lr=0.0100
[09/09 18:16:15] cifar100-global-group2-vgg19 INFO: Epoch 57/120, Acc=0.5539, Val Loss=1.7132, lr=0.0100
[09/09 18:16:34] cifar100-global-group2-vgg19 INFO: Epoch 58/120, Acc=0.5400, Val Loss=1.7714, lr=0.0100
[09/09 18:16:53] cifar100-global-group2-vgg19 INFO: Epoch 59/120, Acc=0.5127, Val Loss=1.9123, lr=0.0100
[09/09 18:17:11] cifar100-global-group2-vgg19 INFO: Epoch 60/120, Acc=0.6810, Val Loss=1.1596, lr=0.0010
[09/09 18:17:29] cifar100-global-group2-vgg19 INFO: Epoch 61/120, Acc=0.6884, Val Loss=1.1292, lr=0.0010
[09/09 18:17:49] cifar100-global-group2-vgg19 INFO: Epoch 62/120, Acc=0.6916, Val Loss=1.1213, lr=0.0010
[09/09 18:18:07] cifar100-global-group2-vgg19 INFO: Epoch 63/120, Acc=0.6964, Val Loss=1.1161, lr=0.0010
[09/09 18:18:26] cifar100-global-group2-vgg19 INFO: Epoch 64/120, Acc=0.6977, Val Loss=1.1133, lr=0.0010
[09/09 18:18:44] cifar100-global-group2-vgg19 INFO: Epoch 65/120, Acc=0.6960, Val Loss=1.1245, lr=0.0010
[09/09 18:19:02] cifar100-global-group2-vgg19 INFO: Epoch 66/120, Acc=0.6982, Val Loss=1.1225, lr=0.0010
[09/09 18:19:20] cifar100-global-group2-vgg19 INFO: Epoch 67/120, Acc=0.7022, Val Loss=1.1247, lr=0.0010
[09/09 18:19:39] cifar100-global-group2-vgg19 INFO: Epoch 68/120, Acc=0.7003, Val Loss=1.1252, lr=0.0010
[09/09 18:19:56] cifar100-global-group2-vgg19 INFO: Epoch 69/120, Acc=0.6995, Val Loss=1.1439, lr=0.0010
